step,solderingStation1Status,solderingStation1Recipe,solderingStation1TaskCount,solderingStation1AffordanceCount,solderingStation1InputProductCount,solderingStation1OutputProductCount,solderingStation1LocationX1,solderingStation1LocationX2,solderingStation1LocationY1,solderingStation1LocationY2,memoryStorageStation1Status,memoryStorageStation1Recipe,memoryStorageStation1TaskCount,memoryStorageStation1AffordanceCount,memoryStorageStation1InputProductCount,memoryStorageStation1OutputProductCount,memoryStorageStation1LocationX1,memoryStorageStation1LocationX2,memoryStorageStation1LocationY1,memoryStorageStation1LocationY2,cpuStorageStation1Status,cpuStorageStation1Recipe,cpuStorageStation1TaskCount,cpuStorageStation1AffordanceCount,cpuStorageStation1InputProductCount,cpuStorageStation1OutputProductCount,cpuStorageStation1LocationX1,cpuStorageStation1LocationX2,cpuStorageStation1LocationY1,cpuStorageStation1LocationY2,boardStorageStation1Status,boardStorageStation1Recipe,boardStorageStation1TaskCount,boardStorageStation1AffordanceCount,boardStorageStation1InputProductCount,boardStorageStation1OutputProductCount,boardStorageStation1LocationX1,boardStorageStation1LocationX2,boardStorageStation1LocationY1,boardStorageStation1LocationY2,fastTransporter1Status,fastTransporter1ProductCount,fastTransporter1LocationX,fastTransporter1LocationY
0,idle,mainModuleRecipe,0,0,0,0,9,12,7,8,idle,ramRecipe,0,0,0,0,0,1,0,1,idle,cpuRecipe,0,0,0,0,0,1,5,6,idle,mainboardRecipe,0,0,0,0,0,1,10,11,idle,0,5,0
1,idle,mainModuleRecipe,0,0,0,0,9,12,7,8,idle,ramRecipe,0,0,0,0,0,1,0,1,idle,cpuRecipe,0,0,0,0,0,1,5,6,idle,mainboardRecipe,0,0,0,0,0,1,10,11,idle,0,5,0
2,idle,mainModuleRecipe,0,0,0,0,9,12,7,8,idle,ramRecipe,0,0,0,0,0,1,0,1,idle,cpuRecipe,0,0,0,0,0,1,5,6,idle,mainboardRecipe,0,0,0,0,0,1,10,11,idle,0,5,0
3,idle,mainModuleRecipe,0,1,0,0,9,12,7,8,idle,ramRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,0,0,1,5,6,idle,mainboardRecipe,0,1,0,0,0,1,10,11,idle,0,5,0
4,idle,mainModuleRecipe,0,2,0,0,9,12,7,8,idle,ramRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,0,0,1,5,6,idle,mainboardRecipe,0,1,0,0,0,1,10,11,idle,0,5,0
5,idle,mainModuleRecipe,0,4,0,0,9,12,7,8,idle,ramRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,0,0,1,5,6,idle,mainboardRecipe,0,1,0,0,0,1,10,11,idle,0,5,0
6,busy,mainModuleRecipe,1,4,0,0,9,12,7,8,busy,ramRecipe,2,2,0,0,0,1,0,1,busy,cpuRecipe,1,1,0,0,0,1,5,6,busy,mainboardRecipe,1,1,0,0,0,1,10,11,busy,0,4,1
7,busy,mainModuleRecipe,1,4,0,0,9,12,7,8,busy,ramRecipe,2,2,0,0,0,1,0,1,busy,cpuRecipe,1,1,0,0,0,1,5,6,busy,mainboardRecipe,1,1,0,0,0,1,10,11,busy,0,3,1
8,busy,mainModuleRecipe,1,4,0,0,9,12,7,8,busy,flashMemoryRecipe,1,2,0,0,0,1,0,1,busy,cpuRecipe,1,1,0,0,0,1,5,6,busy,mainboardRecipe,1,1,0,0,0,1,10,11,busy,1,2,1
9,busy,mainModuleRecipe,1,4,0,0,9,12,7,8,busy,flashMemoryRecipe,1,2,0,0,0,1,0,1,busy,cpuRecipe,1,1,0,0,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,2,1
10,busy,mainModuleRecipe,1,4,0,0,9,12,7,8,busy,flashMemoryRecipe,1,2,0,0,0,1,0,1,busy,cpuRecipe,1,1,0,0,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,3,2
11,busy,mainModuleRecipe,1,4,0,0,9,12,7,8,busy,flashMemoryRecipe,1,2,0,0,0,1,0,1,busy,cpuRecipe,1,1,0,0,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,4,3
12,busy,mainModuleRecipe,1,4,0,0,9,12,7,8,busy,flashMemoryRecipe,1,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,5,4
13,busy,mainModuleRecipe,1,4,0,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,1,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,6,5
14,busy,mainModuleRecipe,1,4,0,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,1,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,7,6
15,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,1,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,8,7
16,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,1,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,8,7
17,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,1,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,7,6
18,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,1,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,6,5
19,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,1,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,5,4
20,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,1,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,4,3
21,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,1,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,3,2
22,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,2,1
23,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,2,1
24,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,3,2
25,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,4,3
26,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,5,4
27,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,6,5
28,busy,mainModuleRecipe,1,4,1,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,7,6
29,busy,mainModuleRecipe,1,4,2,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,8,7
30,busy,mainModuleRecipe,1,4,2,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,8,7
31,busy,mainModuleRecipe,1,4,2,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,7,6
32,busy,mainModuleRecipe,1,4,2,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,6,6
33,busy,mainModuleRecipe,1,4,2,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,5,6
34,busy,mainModuleRecipe,1,4,2,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,4,6
35,busy,mainModuleRecipe,1,4,2,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,1,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,0,3,6
36,busy,mainModuleRecipe,1,4,2,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,0,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,2,6
37,busy,mainModuleRecipe,1,4,2,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,0,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,2,6
38,busy,mainModuleRecipe,1,4,2,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,0,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,3,7
39,busy,mainModuleRecipe,1,4,2,0,9,12,7,8,idle,flashMemoryRecipe,0,2,0,0,0,1,0,1,idle,cpuRecipe,0,1,0,0,0,1,5,6,idle,mainboardRecipe,0,1,0,1,0,1,10,11,busy,1,4,7
